NM_MUNICIP;CD_GEOCMU;Covide_19_05_C;Covide_19_05_M
ÁGUA BRANCA;2700102;0;0
ANADIA;2700201;5;1
ARAPIRACA;2700300;132;6
ATALAIA;2700409;31;2
BARRA DE SANTO ANTÔNIO;2700508;3;0
BARRA DE SÃO MIGUEL;2700607;9;0
BATALHA;2700706;6;1
BELÉM;2700805;0;0
BELO MONTE;2700904;0;0
BOCA DA MATA;2701001;9;0
BRANQUINHA;2701100;5;0
CACIMBINHAS;2701209;4;1
CAJUEIRO;2701308;3;0
CAMPESTRE;2701357;11;0
CAMPO ALEGRE;2701407;6;1
CAMPO GRANDE;2701506;6;1
CANAPI;2701605;1;0
CAPELA;2701704;9;0
CARNEIROS;2701803;5;0
CHÃ PRETA;2701902;0;0
COITÉ DO NÓIA;2702009;4;0
COLÔNIA LEOPOLDINA;2702108;7;0
COQUEIRO SECO;2702207;8;0
CORURIPE;2702306;55;2
CRAÍBAS;2702355;7;0
DELMIRO GOUVEIA;2702405;3;1
DOIS RIACHOS;2702504;1;0
ESTRELA DE ALAGOAS;2702553;0;0
FEIRA GRANDE;2702603;2;0
FELIZ DESERTO;2702702;0;0
FLEXEIRAS;2702801;3;1
GIRAU DO PONCIANO;2702900;0;0
IBATEGUARA;2703007;1;1
IGACI;2703106;1;0
IGREJA NOVA;2703205;0;0
INHAPI;2703304;1;0
JACARÉ DOS HOMENS;2703403;0;0
JACUÍPE;2703502;3;0
JAPARATINGA;2703601;7;1
JARAMATAIA;2703700;1;0
JEQUIÁ DA PRAIA;2703759;16;0
JOAQUIM GOMES;2703809;5;2
JUNDIÁ;2703908;1;0
JUNQUEIRO;2704005;14;0
LAGOA DA CANOA;2704104;1;1
LIMOEIRO DE ANADIA;2704203;6;1
MACEIÓ;2704302;2746;144
MAJOR ISIDORO;2704401;6;0
MAR VERMELHO;2704906;3;0
MARAGOGI;2704500;19;2
MARAVILHA;2704609;3;1
MARECHAL DEODORO;2704708;90;7
MARIBONDO;2704807;3;1
MATA GRANDE;2705002;0;0
MATRIZ DE CAMARAGIBE;2705101;8;1
MESSIAS;2705200;7;1
MINADOR DO NEGRÃO;2705309;0;0
MONTEIRÓPOLIS;2705408;4;0
MURICI;2705507;56;2
NOVO LINO;2705606;1;1
OLHO D'ÁGUA DAS FLORES;2705705;5;0
OLHO D'ÁGUA DO CASADO;2705804;0;0
OLHO D'ÁGUA GRANDE;2705903;0;0
OLIVENÇA;2706000;2;0
OURO BRANCO;2706109;0;0
PALESTINA;2706208;1;0
PALMEIRA DOS ÍNDIOS;2706307;59;2
PÃO DE AÇÚCAR;2706406;3;0
PARICONHA;2706422;0;0
PARIPUEIRA;2706448;12;3
PASSO DE CAMARAGIBE;2706505;4;1
PAULO JACINTO;2706604;7;2
PENEDO;2706703;13;2
PIAÇABUÇU;2706802;7;1
PILAR;2706901;41;4
PINDOBA;2707008;4;0
PIRANHAS;2707107;2;0
POÇO DAS TRINCHEIRAS;2707206;1;0
PORTO CALVO;2707305;35;1
PORTO DE PEDRAS;2707404;1;0
PORTO REAL DO COLÉGIO;2707503;2;1
QUEBRANGULO;2707602;7;0
RIO LARGO;2707701;87;5
ROTEIRO;2707800;3;0
SANTA LUZIA DO NORTE;2707909;23;0
SANTANA DO IPANEMA;2708006;28;2
SANTANA DO MUNDAÚ;2708105;0;0
SÃO BRÁS;2708204;0;0
SÃO JOSÉ DA LAJE;2708303;20;0
SÃO JOSÉ DA TAPERA;2708402;8;0
SÃO LUÍS DO QUITUNDE;2708501;17;0
SÃO MIGUEL DOS CAMPOS;2708600;37;1
SÃO MIGUEL DOS MILAGRES;2708709;13;1
SÃO SEBASTIÃO;2708808;47;0
SATUBA;2708907;71;1
SENADOR RUI PALMEIRA;2708956;0;0
TANQUE D'ARCA;2709004;2;0
TAQUARANA;2709103;11;0
TEOTÔNIO VILELA;2709152;30;1
TRAIPU;2709202;0;0
UNIÃO DOS PALMARES;2709301;55;7
VIÇOSA;2709400;11;1
